Date 	Value
7/28/2017 18:37:01	5.795
7/28/2017 22:37:01	5.795
7/29/2017 02:37:01	5.984
7/29/2017 06:37:01	6.047
7/29/2017 10:37:01	6.109
7/29/2017 14:37:01	6.109
7/29/2017 18:37:01	6.109
7/29/2017 22:37:01	6.172
7/30/2017 02:37:01	6.235
7/30/2017 06:37:01	6.298
7/30/2017 10:37:01	6.361
7/30/2017 14:37:01	6.361
7/30/2017 18:37:01	6.298
7/30/2017 22:37:01	6.235
7/31/2017 02:37:01	6.235
7/31/2017 06:37:01	6.235
7/31/2017 10:37:01	6.235
7/31/2017 14:37:01	6.172
7/31/2017 18:37:01	6.109
7/31/2017 22:37:01	6.109
8/1/2017 02:37:01	6.172
8/1/2017 06:37:01	6.172
8/1/2017 10:37:01	6.235
8/1/2017 14:37:01	6.172
8/1/2017 18:37:01	6.109
8/1/2017 22:37:01	6.109
8/2/2017 02:37:01	6.172
8/2/2017 06:37:01	6.235
8/2/2017 10:37:01	6.235
8/2/2017 14:37:01	6.235
8/2/2017 18:37:01	6.172
8/2/2017 22:37:01	6.172
8/3/2017 02:37:01	6.172
8/3/2017 06:37:01	6.235
8/3/2017 10:37:01	6.172
8/3/2017 14:37:01	6.172
8/3/2017 18:37:01	6.109
8/3/2017 22:37:01	6.109
8/4/2017 02:37:01	6.047
8/4/2017 06:37:01	6.047
8/4/2017 10:37:01	6.047
8/4/2017 14:37:01	5.984
8/4/2017 18:37:01	5.984
8/4/2017 22:37:01	5.984
8/5/2017 02:37:01	6.109
8/5/2017 06:37:01	6.172
8/5/2017 10:37:01	6.235
8/5/2017 14:37:01	6.172
8/5/2017 18:37:01	6.172
8/5/2017 22:37:01	6.172
8/6/2017 02:37:01	6.235
8/6/2017 06:37:01	6.298
8/6/2017 10:37:01	6.298
8/6/2017 14:37:01	6.298
8/6/2017 18:37:01	6.298
8/6/2017 22:37:01	6.298
8/7/2017 02:37:01	6.361
8/7/2017 06:37:01	6.361
8/7/2017 10:37:01	6.361
8/7/2017 14:37:01	6.361
8/7/2017 18:37:01	6.361
8/7/2017 22:37:01	6.424
8/8/2017 02:37:01	6.486
8/8/2017 06:37:01	6.549
8/8/2017 10:37:01	6.549
8/8/2017 14:37:01	6.486
8/8/2017 18:37:01	6.424
8/8/2017 22:37:01	6.424
8/9/2017 02:37:01	6.486
8/9/2017 06:37:01	6.549
8/9/2017 10:37:01	6.549
8/9/2017 14:37:01	6.486
8/9/2017 18:37:01	6.486
8/9/2017 22:37:01	6.424
8/10/2017 02:37:01	6.486
8/10/2017 06:37:01	6.549
8/10/2017 10:37:01	6.549
8/10/2017 14:37:01	6.549
8/10/2017 18:37:01	6.486
8/10/2017 22:37:01	6.549
8/11/2017 02:37:01	6.549
8/11/2017 06:37:01	6.612
8/11/2017 10:37:01	6.612
8/11/2017 14:37:01	6.549
8/11/2017 18:37:01	6.549
8/11/2017 22:37:01	6.612
8/12/2017 02:37:01	6.612
8/12/2017 06:37:01	6.675
8/12/2017 10:37:01	6.612
8/12/2017 14:37:01	6.549
8/12/2017 18:37:01	6.486
8/12/2017 22:37:01	6.424
8/13/2017 02:37:01	6.361
8/13/2017 06:37:01	6.361
8/13/2017 10:37:01	6.235
8/13/2017 14:37:01	6.109
8/13/2017 18:37:01	5.984
8/13/2017 22:37:01	5.858
8/14/2017 02:37:01	5.732
8/14/2017 06:37:01	5.607
8/14/2017 10:37:01	5.481
8/14/2017 14:37:01	5.355
8/14/2017 18:37:01	5.23
8/14/2017 22:37:01	5.104
8/15/2017 02:37:01	5.041
8/15/2017 06:37:01	4.978
8/15/2017 10:37:01	4.915
8/15/2017 14:37:01	4.853
8/15/2017 18:37:01	4.79
8/15/2017 22:37:01	4.727
8/16/2017 02:37:01	4.727
8/16/2017 06:37:01	4.727
8/16/2017 10:37:01	4.727
8/16/2017 14:37:01	4.664
8/16/2017 18:37:01	4.664
8/16/2017 22:37:01	4.727
8/17/2017 02:37:01	4.79
8/17/2017 06:37:01	4.915
8/17/2017 10:37:01	4.915
8/17/2017 14:37:01	4.915
8/17/2017 18:37:01	4.915
8/17/2017 22:37:01	4.978
8/18/2017 02:37:01	5.041
8/18/2017 06:37:01	5.104
8/18/2017 10:37:01	5.104
8/18/2017 14:37:01	5.104
8/18/2017 18:37:01	5.041
8/18/2017 22:37:01	5.041
8/19/2017 02:37:01	5.104
8/19/2017 06:37:01	5.104
8/19/2017 10:37:01	5.104
8/19/2017 14:37:01	5.104
8/19/2017 18:37:01	5.041
8/19/2017 22:37:01	5.041
8/20/2017 02:37:01	4.978
8/20/2017 06:37:01	4.978
8/20/2017 10:37:01	4.915
8/20/2017 14:37:01	4.915
8/20/2017 18:37:01	4.853
8/20/2017 22:37:01	4.853
8/21/2017 02:37:01	4.853
8/21/2017 06:37:01	4.853
8/21/2017 10:37:01	4.79
8/21/2017 14:37:01	4.79
8/21/2017 18:37:01	4.727
8/21/2017 22:37:01	4.727
8/22/2017 02:37:01	4.727
8/22/2017 06:37:01	4.79
8/22/2017 10:37:01	4.79
8/22/2017 14:37:01	4.727
8/22/2017 18:37:01	4.664
8/22/2017 22:37:01	4.727
8/23/2017 02:37:01	4.727
8/23/2017 06:37:01	4.79
8/23/2017 10:37:01	4.79
8/23/2017 14:37:01	4.79
8/23/2017 18:37:01	4.727
8/23/2017 22:37:01	4.727
8/24/2017 02:37:01	4.79
8/24/2017 06:37:01	4.79
8/24/2017 10:37:01	4.727
8/24/2017 14:37:01	4.727
8/24/2017 18:37:01	4.664
8/24/2017 22:37:01	4.664
8/25/2017 02:37:01	4.664
8/25/2017 06:37:01	4.664
8/25/2017 10:37:01	4.601
8/25/2017 14:37:01	4.538
8/25/2017 18:37:01	4.475
8/25/2017 22:37:01	4.413
8/26/2017 02:37:01	4.35
8/26/2017 06:37:01	4.287
8/26/2017 10:37:01	4.224
8/26/2017 14:37:01	4.161
8/26/2017 18:37:01	4.098
8/26/2017 22:37:01	4.035
8/27/2017 02:37:01	4.035
8/27/2017 06:37:01	4.035
8/27/2017 10:37:01	3.973
8/27/2017 14:37:01	3.91
8/27/2017 18:37:01	3.847
8/27/2017 22:37:01	3.847
8/28/2017 02:37:01	3.784
8/28/2017 06:37:01	3.784
8/28/2017 10:37:01	3.721
8/28/2017 14:37:01	3.595
8/28/2017 18:37:01	3.532
8/28/2017 22:37:01	3.47
8/29/2017 02:37:01	3.47
8/29/2017 06:37:01	3.344
8/29/2017 10:37:01	3.218
8/29/2017 14:37:01	3.155
8/29/2017 18:37:01	3.092
8/29/2017 22:37:01	3.092
8/30/2017 02:37:01	3.092
8/30/2017 06:37:01	3.092
8/30/2017 10:37:01	3.092
8/30/2017 14:37:01	3.029
8/30/2017 18:37:01	2.967
8/30/2017 22:37:01	2.967
8/31/2017 02:37:01	2.967
8/31/2017 06:37:01	2.967
8/31/2017 10:37:01	2.967
8/31/2017 14:37:01	2.904
8/31/2017 18:37:01	2.904
8/31/2017 22:37:01	2.904
9/1/2017 02:37:01	2.967
9/1/2017 06:37:01	2.967
9/1/2017 10:37:01	2.967
9/1/2017 14:37:01	2.904
9/1/2017 18:37:01	2.904
9/1/2017 22:37:01	2.904
9/2/2017 02:37:01	2.967
9/2/2017 06:37:01	2.967
9/2/2017 10:37:01	3.029
9/2/2017 14:37:01	3.029
9/2/2017 18:37:01	3.029
9/2/2017 22:37:01	3.092
9/3/2017 02:37:01	3.155
9/3/2017 06:37:01	3.155
9/3/2017 10:37:01	3.155
9/3/2017 14:37:01	3.092
9/3/2017 18:37:01	3.029
9/3/2017 22:37:01	3.029
9/4/2017 02:37:01	3.029
9/4/2017 06:37:01	3.029
9/4/2017 10:37:01	3.029
9/4/2017 14:37:01	2.967
9/4/2017 18:37:01	2.967
9/4/2017 22:37:01	2.904
9/5/2017 02:37:01	2.967
9/5/2017 06:37:01	2.967
9/5/2017 10:37:01	2.967
9/5/2017 14:37:01	2.904
9/5/2017 18:37:01	2.841
9/5/2017 22:37:01	2.904
9/6/2017 02:37:01	2.904
9/6/2017 06:37:01	2.967
9/6/2017 10:37:01	2.967
9/6/2017 14:37:01	2.967
9/6/2017 18:37:01	2.904
9/6/2017 22:37:01	2.904
9/7/2017 02:37:01	2.904
9/7/2017 06:37:01	2.967
9/7/2017 10:37:01	2.967
9/7/2017 14:37:01	2.967
9/7/2017 18:37:01	2.967
9/7/2017 22:37:01	2.967
9/8/2017 02:37:01	3.029
9/8/2017 06:37:01	3.029
9/8/2017 10:37:01	3.029
9/8/2017 14:37:01	3.029
9/8/2017 18:37:01	3.029
9/8/2017 22:37:01	3.029
9/9/2017 02:37:01	3.029
9/9/2017 06:37:01	3.029
9/9/2017 10:37:01	3.029
9/9/2017 14:37:01	2.967
9/9/2017 18:37:01	2.967
9/9/2017 22:37:01	2.904
9/10/2017 02:37:01	2.904
9/10/2017 06:37:01	2.904
9/10/2017 10:37:01	2.841
9/10/2017 14:37:01	2.778
9/10/2017 18:37:01	2.715
9/10/2017 22:37:01	2.652
9/11/2017 02:37:01	2.715
9/11/2017 06:37:01	2.715
9/11/2017 10:37:01	2.715
9/11/2017 14:37:01	2.652
9/11/2017 18:37:01	2.652
9/11/2017 22:37:01	2.589
9/12/2017 02:37:01	2.589
9/12/2017 06:37:01	2.589
9/12/2017 10:37:01	2.589
9/12/2017 14:37:01	2.589
9/12/2017 18:37:01	2.526
9/12/2017 22:37:01	2.526
9/13/2017 02:37:01	2.526
9/13/2017 06:37:01	2.526
9/13/2017 10:37:01	2.526
9/13/2017 14:37:01	2.589
9/13/2017 18:37:01	2.589
9/13/2017 22:37:01	2.652
9/14/2017 02:37:01	2.778
9/14/2017 06:37:01	2.841
9/14/2017 10:37:01	2.904
9/14/2017 14:37:01	2.904
9/14/2017 18:37:01	2.967
9/14/2017 22:37:01	2.967
9/15/2017 02:37:01	3.029
9/15/2017 06:37:01	3.092
9/15/2017 10:37:01	3.092
9/15/2017 14:37:01	3.092
9/15/2017 18:37:01	3.092
9/15/2017 22:37:01	3.155
9/16/2017 02:37:01	3.155
9/16/2017 06:37:01	3.218
9/16/2017 10:37:01	3.155
9/16/2017 14:37:01	3.092
9/16/2017 18:37:01	3.029
9/16/2017 22:37:01	3.029
9/17/2017 02:37:01	3.029
9/17/2017 06:37:01	2.967
9/17/2017 10:37:01	2.967
9/17/2017 14:37:01	2.904
9/17/2017 18:37:01	2.841
9/17/2017 22:37:01	2.841
9/18/2017 02:37:01	2.841
9/18/2017 06:37:01	2.841
9/18/2017 10:37:01	2.841
9/18/2017 14:37:01	2.778
9/18/2017 18:37:01	2.778
9/18/2017 22:37:01	2.778
9/19/2017 02:37:01	2.778
9/19/2017 06:37:01	2.778
9/19/2017 10:37:01	2.841
9/19/2017 14:37:01	2.778
9/19/2017 18:37:01	2.778
9/19/2017 22:37:01	2.778
9/20/2017 02:37:01	2.715
9/20/2017 06:37:01	2.715
9/20/2017 10:37:01	2.652
9/20/2017 14:37:01	2.652
9/20/2017 18:37:01	2.589
9/20/2017 22:37:01	2.526
9/21/2017 02:37:01	2.526
9/21/2017 06:37:01	2.463
9/21/2017 10:37:01	2.401
9/21/2017 14:37:01	2.338
9/21/2017 18:37:01	2.275
9/21/2017 22:37:01	2.212
9/22/2017 02:37:01	2.212
9/22/2017 06:37:01	2.149
9/22/2017 10:37:01	2.149
9/22/2017 14:37:01	2.086
9/22/2017 18:37:01	2.023
9/22/2017 22:37:01	2.023
9/23/2017 02:37:01	1.96
9/23/2017 06:37:01	1.96
9/23/2017 10:37:01	1.897
9/23/2017 14:37:01	1.834
9/23/2017 18:37:01	1.771
9/23/2017 22:37:01	1.771
9/24/2017 02:37:01	1.771
9/24/2017 06:37:01	1.709
9/24/2017 10:37:01	1.709
9/24/2017 14:37:01	1.646
9/24/2017 18:37:01	1.583
9/24/2017 22:37:01	1.583
9/25/2017 02:37:01	1.52
9/25/2017 06:37:01	1.52
9/25/2017 10:37:01	1.52
9/25/2017 14:37:01	1.457
9/25/2017 18:37:01	1.394
9/25/2017 22:37:01	1.394
9/26/2017 02:37:01	1.394
9/26/2017 06:37:01	1.331
9/26/2017 10:37:01	1.331
9/26/2017 14:37:01	1.268
9/26/2017 18:37:01	1.268
9/26/2017 22:37:01	1.205
9/27/2017 02:37:01	1.205
9/27/2017 06:37:01	1.205
9/27/2017 10:37:01	1.205
9/27/2017 14:37:01	1.142
9/27/2017 18:37:01	1.142
9/27/2017 22:37:01	1.079
9/28/2017 02:37:01	1.079
9/28/2017 06:37:01	1.079
9/28/2017 10:37:01	1.017
9/28/2017 14:37:01	1.017
9/28/2017 18:37:01	1.017
9/28/2017 22:37:01	0.954
9/29/2017 02:37:01	0.954
9/29/2017 06:37:01	0.954
9/29/2017 10:37:01	0.954
9/29/2017 14:37:01	0.891
9/29/2017 18:37:01	0.891
9/29/2017 22:37:01	0.891
9/30/2017 02:37:01	0.891
9/30/2017 06:37:01	0.828
9/30/2017 10:37:01	0.828
9/30/2017 14:37:01	0.828
9/30/2017 18:37:01	0.828
9/30/2017 22:37:01	0.828
10/1/2017 02:37:01	0.828
10/1/2017 06:37:01	0.765
10/1/2017 10:37:01	0.765
10/1/2017 14:37:01	0.765
10/1/2017 18:37:01	0.765
10/1/2017 22:37:01	0.765
10/2/2017 02:37:01	0.765
10/2/2017 06:37:01	0.765
10/2/2017 10:37:01	0.765
10/2/2017 14:37:01	0.765
10/2/2017 18:37:01	0.702
10/2/2017 22:37:01	0.702
10/3/2017 02:37:01	0.765
10/3/2017 06:37:01	0.765
10/3/2017 10:37:01	0.702
10/3/2017 14:37:01	0.702
10/3/2017 18:37:01	0.702
10/3/2017 22:37:01	0.702
10/4/2017 02:37:01	0.702
10/4/2017 06:37:01	0.702
10/4/2017 10:37:01	0.702
10/4/2017 14:37:01	0.765
10/4/2017 18:37:01	0.765
10/4/2017 22:37:01	0.765
10/5/2017 02:37:01	0.765
10/5/2017 06:37:01	0.828
10/5/2017 10:37:01	0.828
10/5/2017 14:37:01	0.828
